video_type	frame_index	timestamp
scene	536	21.438800
scene	537	21.478800
scene	538	21.518800
scene	539	21.558800
scene	540	21.598800
scene	541	21.638800
scene	542	21.679200
scene	543	21.719200
scene	544	21.759200
scene	545	21.799200
scene	546	21.839200
scene	547	21.879600
scene	548	21.919600
scene	549	21.959600
scene	550	21.999600
scene	551	22.039600
scene	552	22.079600
scene	553	22.120000
scene	554	22.160000
scene	555	22.200000
scene	556	22.240000
scene	557	22.280000
scene	558	22.320400
scene	559	22.360400
scene	560	22.400400
scene	561	22.440400
scene	562	22.480400
scene	563	22.520400
scene	564	22.560800
scene	565	22.600800
scene	566	22.640800
scene	567	22.680800
scene	568	22.720800
scene	569	22.761200
scene	570	22.801200
scene	571	22.841200
scene	572	22.881200
scene	573	22.921200
scene	574	22.961200
scene	575	23.001600
scene	576	23.041600
scene	577	23.081600
scene	578	23.121600
scene	579	23.161600
scene	580	23.202000
scene	581	23.242000
scene	582	23.282000
scene	583	23.322000
scene	584	23.362000
scene	585	23.402000
scene	586	23.442400
scene	587	23.482400
scene	588	23.522400
scene	589	23.562400
scene	590	23.602400
scene	591	23.642800
scene	592	23.682800
scene	593	23.722800
scene	594	23.762800
scene	595	23.802800
scene	596	23.842800
scene	597	23.883200
scene	598	23.923200
scene	599	23.963200
scene	600	24.003200
scene	601	24.043200
scene	602	24.083600
scene	603	24.123600
scene	604	24.163600
scene	605	24.203600
scene	606	24.243600
scene	607	24.283600
scene	608	24.324000
scene	609	24.364000
scene	610	24.404000
scene	611	24.444000
scene	612	24.484000
scene	613	24.524400
scene	614	24.564400
scene	615	24.604400
scene	616	24.644400
scene	617	24.684400
scene	618	24.724400
scene	619	24.764800
scene	620	24.804800
scene	621	24.844800
scene	622	24.884800
scene	623	24.924800
scene	624	24.964800
scene	625	25.005200
scene	626	25.045200
scene	627	25.085200
scene	628	25.125200
scene	629	25.165200
scene	630	25.205600
scene	631	25.245600
scene	632	25.285600
scene	633	25.325600
scene	634	25.365600
scene	635	25.405600
scene	636	25.446000
scene	637	25.486000
scene	638	25.526000
scene	639	25.566000
scene	640	25.606000
scene	641	25.646400
scene	642	25.686400
scene	643	25.726400
scene	644	25.766400
scene	645	25.806400
scene	646	25.846400
scene	647	25.886800
scene	648	25.926800
scene	649	25.966800
scene	650	26.006800
scene	651	26.046800
scene	652	26.087200
scene	653	26.127200
scene	654	26.167200
scene	655	26.207200
scene	656	26.247200
scene	657	26.287200
scene	658	26.327600
scene	659	26.367600
scene	660	26.407600
scene	661	26.447600
scene	662	26.487600
scene	663	26.528000
scene	664	26.568000
scene	665	26.608000
scene	666	26.648000
scene	667	26.688000
scene	668	26.728000
scene	669	26.768400
scene	670	26.808400
scene	671	26.848400
scene	672	26.888400
scene	673	26.928400
scene	674	26.968800
scene	675	27.008800
scene	676	27.048800
scene	677	27.088800
scene	678	27.128800
scene	679	27.168800
scene	680	27.209200
scene	681	27.249200
scene	682	27.289200
scene	683	27.329200
scene	684	27.369200
scene	685	27.409600
scene	686	27.449600
scene	687	27.489600
scene	688	27.529600
scene	689	27.569600
scene	690	27.609600
scene	691	27.650000
scene	692	27.690000
scene	693	27.730000
scene	694	27.770000
scene	695	27.810000
scene	696	27.850400
scene	697	27.890400
scene	698	27.930400
scene	699	27.970400
scene	700	28.010400
scene	701	28.050400
scene	702	28.090800
scene	703	28.130800
scene	704	28.170800
scene	705	28.210800
scene	706	28.250800
scene	707	28.291200
scene	708	28.331200
scene	709	28.371200
scene	710	28.411200
scene	711	28.451200
scene	712	28.491200
scene	713	28.531600
scene	714	28.571600
scene	715	28.611600
scene	716	28.651600
scene	717	28.691600
scene	718	28.732000
scene	719	28.772000
scene	720	28.812000
scene	721	28.852000
scene	722	28.892000
scene	723	28.932000
scene	724	28.972400
scene	725	29.012400
scene	726	29.052400
scene	727	29.092400
scene	728	29.132400
scene	729	29.172800
scene	730	29.212800
scene	731	29.252800
scene	732	29.292800
scene	733	29.332800
scene	734	29.372800
scene	735	29.413200
scene	736	29.453200
scene	737	29.493200
scene	738	29.533200
scene	739	29.573200
scene	740	29.613600
scene	741	29.653600
scene	742	29.693600
scene	743	29.733600
scene	744	29.773600
scene	745	29.813600
scene	746	29.854000
scene	747	29.894000
scene	748	29.934000
scene	749	29.974000
scene	750	30.014000
scene	751	30.054400
scene	752	30.094400
scene	753	30.134400
scene	754	30.174400
scene	755	30.214400
scene	756	30.254400
scene	757	30.294800
scene	758	30.334800
scene	759	30.374800
scene	760	30.414800
scene	761	30.454800
scene	762	30.495200
scene	763	30.535200
scene	764	30.575200
scene	765	30.615200
scene	766	30.655200
scene	767	30.695200
scene	768	30.735600
scene	769	30.775600
scene	770	30.815600
scene	771	30.855600
scene	772	30.895600
scene	773	30.936000
scene	774	30.976000
scene	775	31.016000
scene	776	31.056000
scene	777	31.096000
scene	778	31.136000
scene	779	31.176400
scene	780	31.216400
scene	781	31.256400
scene	782	31.296400
scene	783	31.336400
scene	784	31.376400
scene	785	31.416800
scene	786	31.456800
scene	787	31.496800
scene	788	31.536800
scene	789	31.576800
scene	790	31.617200
scene	791	31.657200
scene	792	31.697200
scene	793	31.737200
scene	794	31.777200
scene	795	31.817200
scene	796	31.857600
scene	797	31.897600
scene	798	31.937600
scene	799	31.977600
scene	800	32.017600
scene	801	32.058000
scene	802	32.098000
scene	803	32.138000
scene	804	32.178000
scene	805	32.218000
scene	806	32.258000
scene	807	32.298400
scene	808	32.338400
scene	809	32.378400
scene	810	32.418400
scene	811	32.458400
scene	812	32.498800
scene	813	32.538800
scene	814	32.578800
scene	815	32.618800
scene	816	32.658800
scene	817	32.698800
scene	818	32.739200
scene	819	32.779200
scene	820	32.819200
scene	821	32.859200
scene	822	32.899200
scene	823	32.939600
scene	824	32.979600
scene	825	33.019600
scene	826	33.059600
scene	827	33.099600
scene	828	33.139600
scene	829	33.180000
scene	830	33.220000
scene	831	33.260000
scene	832	33.300000
scene	833	33.340000
scene	834	33.380400
scene	835	33.420400
scene	836	33.460400
scene	837	33.500400
scene	838	33.540400
scene	839	33.580400
scene	840	33.620800
scene	841	33.660800
scene	842	33.700800
scene	843	33.740800
scene	844	33.780800
scene	845	33.821200
scene	846	33.861200
scene	847	33.901200
scene	848	33.941200
scene	849	33.981200
scene	850	34.021200
scene	851	34.061600
scene	852	34.101600
scene	853	34.141600
scene	854	34.181600
scene	855	34.221600
scene	856	34.262000
scene	857	34.302000
scene	858	34.342000
scene	859	34.382000
scene	860	34.422000
scene	861	34.462000
scene	862	34.502400
scene	863	34.542400
scene	864	34.582400
scene	865	34.622400
scene	866	34.662400
scene	867	34.702800
scene	868	34.742800
scene	869	34.782800
scene	870	34.822800
scene	871	34.862800
scene	872	34.902800
scene	873	34.943200
scene	874	34.983200
scene	875	35.023200
scene	876	35.063200
scene	877	35.103200
scene	878	35.143600
scene	879	35.183600
scene	880	35.223600
scene	881	35.263600
scene	882	35.303600
scene	883	35.343600
scene	884	35.384000
scene	885	35.424000
scene	886	35.464000
scene	887	35.504000
scene	888	35.544000
scene	889	35.584400
scene	890	35.624400
scene	891	35.664400
scene	892	35.704400
scene	893	35.744400
