timestamp	magnetometer_x	magnetometer_y	magnetometer_z
6.220985e+01	-5.615e+01	2.223e+02	2.974e+02
6.231141e+01	-5.632e+01	2.226e+02	3.000e+02
6.241294e+01	-5.579e+01	2.230e+02	2.976e+02
6.251454e+01	-5.614e+01	2.228e+02	2.998e+02
6.261604e+01	-5.646e+01	2.230e+02	2.989e+02
6.271763e+01	-5.662e+01	2.227e+02	2.997e+02
6.281922e+01	-5.609e+01	2.226e+02	2.996e+02
6.292075e+01	-5.664e+01	2.228e+02	2.992e+02
6.302235e+01	-5.610e+01	2.224e+02	2.997e+02
6.312394e+01	-5.580e+01	2.223e+02	3.000e+02
6.322550e+01	-5.596e+01	2.227e+02	2.997e+02
6.332722e+01	-5.646e+01	2.224e+02	2.991e+02
6.342860e+01	-5.641e+01	2.225e+02	2.997e+02
6.353007e+01	-5.629e+01	2.224e+02	2.998e+02
6.363163e+01	-5.568e+01	2.224e+02	2.993e+02
6.373319e+01	-5.614e+01	2.224e+02	3.000e+02
6.383475e+01	-5.621e+01	2.229e+02	2.999e+02
6.393629e+01	-5.649e+01	2.224e+02	3.000e+02
6.403794e+01	-5.634e+01	2.227e+02	3.004e+02
6.414002e+01	-5.580e+01	2.224e+02	3.003e+02
6.424107e+01	-5.667e+01	2.226e+02	2.999e+02
6.434257e+01	-5.659e+01	2.226e+02	3.002e+02
6.444416e+01	-5.635e+01	2.224e+02	3.001e+02
6.454572e+01	-5.576e+01	2.225e+02	3.003e+02
6.464728e+01	-5.653e+01	2.231e+02	3.003e+02
6.474882e+01	-5.580e+01	2.223e+02	2.996e+02
6.485038e+01	-5.607e+01	2.223e+02	3.001e+02
6.495197e+01	-5.667e+01	2.223e+02	2.999e+02
6.505350e+01	-5.825e+01	2.220e+02	2.985e+02
6.515501e+01	-6.011e+01	2.208e+02	2.945e+02
6.525660e+01	-6.063e+01	2.200e+02	2.904e+02
6.535814e+01	-6.063e+01	2.200e+02	2.887e+02
6.545970e+01	-5.958e+01	2.204e+02	2.878e+02
6.556126e+01	-5.961e+01	2.199e+02	2.875e+02
6.566282e+01	-5.796e+01	2.207e+02	2.884e+02
6.576439e+01	-5.949e+01	2.210e+02	2.886e+02
6.586595e+01	-5.664e+01	2.207e+02	2.879e+02
6.596751e+01	-5.900e+01	2.209e+02	2.884e+02
6.606907e+01	-5.613e+01	2.202e+02	2.881e+02
6.617064e+01	-5.886e+01	2.214e+02	2.906e+02
