Time	Gaze X	Gaze Y	Left Pupil	Right Pupil
117.5846	0.473031123	0.48715759	2.894665718	
117.60458	0.518515496	0.527869503	2.895614624	3.337087393
117.624673	0.542968479	0.543199275	2.921087027	3.331090212
117.644652	0.553296721	0.548788318	2.931958675	3.343082428
117.664746	0.558319222	0.550662759	2.937373161	3.362251759
117.684725	0.560907735	0.552099048	2.944426298	3.382596016
117.704818	0.564139447	0.550822367	2.95222497	3.422453165
117.724797	0.56100579	0.553655357	2.935891628	3.411199331
117.744891	0.549526244	0.570825464	2.911676407	3.433045387
117.764869	0.491948282	0.536709066	2.887834072	3.435345173
117.784963	0.523274717	0.582679306	2.876598358	3.429381609
117.804942	0.45977342	0.529041261	2.87282443	3.423580647
117.825036	0.460093067	0.530242877	2.869406939	3.412753105
117.845014	0.460565766	0.530953843	2.866836071	3.407794952
117.865108	0.461299605	0.531795044	2.864043236	
117.885087	0.462096502	0.532589213	2.862368345	
117.90518	0.462987086	0.5333069	2.864932299	3.409465551
117.925159	0.463886903	0.533973	2.868461609	
117.945253	0.465045058	0.53563734	2.871344566	
117.965232	0.467935083	0.538393423	2.877545834	
117.985325	0.472097141	0.536929179	2.915461779	
118.005304	0.47561397	0.533766578	2.939353943	
118.025398	0.48041539	0.530224135	2.969713688	
118.045377				
118.06547	0.542810003	0.558866733	2.954969168	3.226550102
118.085449	0.538211145	0.545018413	2.92992568	3.156525135
118.105543	0.541061248	0.538871553	2.933035851	3.138195992
118.125522	0.544301276	0.533315123	2.928036451	3.140066385
118.145615	0.543249355	0.536595244	2.917258263	3.124843359
118.165594	0.543594927	0.538027131	2.913318872	3.111483574
118.185688	0.571327432	0.587277295	2.920775652	3.293914557
118.205667	0.58144069	0.60132496	2.927858114	3.366989136
118.22576	0.585586192	0.606565103	2.931664228	3.402640104
118.24574	0.587268358	0.60937273	2.934844255	3.416275978
118.265833	0.587883685	0.610889513	2.937803507	3.422272682
118.285812	0.525013704	0.543524439	2.940049648	
118.305905	0.523757162	0.544727064	2.943112135	
118.325884	0.587141626	0.612431338	2.942355633	3.426451921
118.345978	0.586969065	0.613054333	2.942406416	3.427845955
118.365957	0.586946913	0.613660803	2.942245722	3.428048611
118.38605	0.58675444	0.614140319	2.940544605	3.429804802
118.406029	0.586491279	0.614698214	2.938913584	3.429923534
118.426123	0.586363152	0.61554145	2.937771559	3.430025101
118.446102	0.586361943	0.615897096	2.938651085	3.431851864
118.466196	0.586471791	0.616168668	2.939325809	3.434129238
118.486174	0.5865887	0.616161568	2.938046694	3.437336206
118.506268	0.574793595	0.605284306	2.948258162	3.333819151
118.526247	0.519177765	0.54901565	2.953776598	
118.54634	0.518902591	0.549914865	2.9475739	
118.56632	0.565066766	0.578162829	2.939052343	3.274511576
118.586413	0.561748339	0.566380705	2.958423853	3.242825508
118.606392	0.559654719	0.560526826	2.960817337	3.219167948
118.626485	0.558085223	0.557172077	2.958753824	3.200087786
118.646465	0.582095397	0.611928617	2.974234581	3.361586809
118.666558	0	0	2.939161062	3.420545578
118.686537	0	0	2.950884819	3.521302938
118.70663	0.668154354	0.661633943	0.983979615	
118.72661	0.668462254	0.663328009	2.945178032	3.527430296
118.746703	0.668416675	0.664602264	2.957666397	3.517876148
118.766682	0.668610817	0.665368304	0.983519862	
118.786775	0.668853173	0.666151554	0.983394758	
118.806755	0.66909142	0.666805418	0.983281232	
118.826848	0	0	2.997738123	3.382860899
118.846827	0.656139662	0.65417448	3.006483793	3.4463799
118.86692				
118.886899	0.664439351	0.662849435	3.026218891	3.465903759
118.906993	0.529056754	0.528502478	2.978849649	3.17566824
118.926972	0.436376966	0.434100475	2.872067213	
118.947066	0.445943358	0.387996611	2.76806283	3.125363111
118.967045	0.399198574	0.354368821	2.781675577	
118.987138	0.443884082	0.318017135	2.383821011	3.258419514
119.007118	0.425890946	0.373550522	2.693022966	3.29762578
119.02721	0	0	2.313214779	3.120545387
119.04719	0.381459254	0.337230894	0.947893467	
119.067283	0.376044829	0.316448661	2.176627636	3.083552599
119.087262	0.373459949	0.305091225	2.128754616	3.097143173
119.107356				
119.127335	0	0	2.592552423	3.18869853
119.147429	0.407286412	0.32892871	2.78199625	3.247707605
119.167407	0.404389696	0.36890044	2.863718271	3.255409718
119.187501	0.383250237	0.325970369	2.887060404	3.093450785
119.20748	0.353033574	0.285920436	2.887352943	3.302801847
119.227573	0.338800834	0.267397671	2.894554377	3.300436258
119.247553	0.326633895	0.262718346	2.900546551	3.368370533
119.267646	0.308438788	0.181485834	2.905350447	3.382892132
119.287625	0.312491566	0.248864221	2.907535553	3.296990633
119.307718	0.339544166	0.282356291	2.905277491	3.206448793
119.327697	0.334455361	0.308184316	2.900829792	
119.347791	0.376937262	0.353757536	2.898033857	3.359622002
119.36777	0.391483232	0.380619868	2.90359211	3.417626381
119.387863	0.368284621	0.293252636	2.834192991	3.028316975
119.407842	0.3977665	0.246715152	2.8274436	2.706754446
119.427936	0.371389607	0.213690999	2.789083004	2.760157108
119.447915	0.40993762	0.148354667	0.89077257	
119.468008	0.374464303	0.225139616	2.777407408	3.038293123
119.487988	0.382272166	0.243921794	0.91089565	
119.508081	0.379480479	0.315718781	2.876512527	3.278255224
119.528059	0.50408493	0.498748464	0.995393214	
119.548153				
119.568131				
119.588224				
119.608204				
119.628297				
119.648277				
119.66837				
119.688349				
119.708442				
119.728422				
119.748515				
119.768494				
119.788587				
119.808567				
119.82866				
119.848639				
119.868732	0.572556517	0.63334239	0.994396032	
119.888711	0.597110429	0.639723764	2.843193769	3.364156008
119.908805	0.510968795	0.500971025	2.870996475	
119.928784	0.520034538	0.521177887	2.840317249	
119.948877	0.524203661	0.531963843	2.853286505	3.361240625
119.968857	0.567417799	0.469923362	2.711730242	
119.98895	0.54470748	0.507396276	2.839982033	3.380625963
120.008929	0.526118815	0.530125818	2.847468376	
120.029023	0.511363935	0.529546575	2.86646843	3.203813076
120.049002	0.509679978	0.543523993	2.900976419	
120.069096	0.547538278	0.541211888	2.947728395	3.369184017
120.089074	0.560894135	0.559819521	2.967942953	3.404610157
120.109168	0.567980125	0.568933494	2.987612247	3.447417974
120.129147	0.548561346	0.545268678	3.000531673	3.280455351
120.14924	0.547702619	0.543918555	3.010188818	3.272087097
120.169219	0.53433367	0.512654284	2.904232025	3.184209347
120.189313	0.54522941	0.481505495	2.819840431	3.27058816
120.209293	0.576863498	0.399489256	0.988217409	
120.229386	0.503410245	0.319418432	2.854820967	3.166073322
120.249365	0.573837743	0.303812003	0.968973379	
120.269458	0.577181316	0.293359374	0.966229911	
120.289437	0.501515587	0.258073192	3.007337332	3.130251884
120.309531	0.565711202	0.297903645	2.843515158	3.171973944
120.32951	0.56333514	0.300304169	2.866164446	3.184434891
120.349603	0.558512477	0.30084496	0.968450881	
120.369583	0.556670488	0.301051532	2.629424572	3.16351819
120.389676	0.445827022	0.220344428	2.694986105	
120.409655	0.539297386	0.22486733	2.848162174	3.124119043
120.429748	0.614340496	0.168809544	2.839707851	3.1078794
120.449727	0.613078847	0.217449528	2.861835957	3.091819048
120.469821	0.614628968	0.229731512	2.878072262	3.018352509
